sid,roi,condition,0s,2s,4s,6s,8s,10s
T_595,lM1,s,0.021688655,-0.118632362,-0.084793747,0.060538306,0.069660118,0.012124136
T_603,lM1,s,-0.06631951,-0.074832023,-0.080806407,-0.024908408,-0.023040841,-0.103095659
T_614,lM1,s,0.055164541,0.024403345,-0.013697815,0.033729111,0.020760969,-0.111733952
T_624,lM1,s,0.163108871,-0.015324633,-0.081020658,-0.02100927,-0.08175019,-0.094794675
T_629,lM1,s,-0.081971563,-0.186048616,-0.230414496,0.001933852,-0.048984154,-0.090067054
T_642,lM1,s,-0.029766111,-0.13519781,-0.149746345,-0.055306747,0.04460198,-0.023946411
T_647,lM1,s,-0.218915574,-0.215865226,-0.24867002,-0.155624048,-0.052332456,-0.017953131
T_652,lM1,s,0.099223999,0.000654276,-0.064091603,-0.056894339,-0.171695557,0.044441251
T_662,lM1,s,-0.066869757,-0.255176398,-0.187359032,-0.060855887,0.253460684,0.177460903
T_663,lM1,s,0.226345575,-0.079143989,-0.211600247,-0.017683486,-0.060050899,-0.201796856
T_665,lM1,s,0.178164107,-0.050763129,-0.142576459,-0.006357687,0.011988835,0.012766596
T_475,lM1,g,0.036539299,0.08079155,0.117119376,0.063760525,0.040227216,-0.027383629
T_488,lM1,g,0.052979318,0.096094341,0.08936291,0.048892902,0.03530364,-0.037348465
T_490,lM1,g,-0.019744425,0.009804756,0.070913509,-0.051883918,-0.110046124,-0.044389122
T_491,lM1,g,0.040613342,0.062646293,0.066672498,0.018714537,0.049688935,-0.041133508
T_495,lM1,g,0.090756399,0.1891753,0.214439956,0.017248223,0.076062351,0.054932401
T_507,lM1,g,0.04974683,0.105430414,0.179696632,0.126023613,0.041597816,-0.019813674
T_513,lM1,g,-0.03964593,-0.010478556,0.019984212,-0.003019224,-0.040538681,-0.019087173
T_524,lM1,g,0.035962679,0.093970175,0.20488807,0.086108475,0.000257497,-0.041559085
T_549,lM1,g,0.05207529,0.139742128,0.13670346,0.062267467,-0.040155105,-0.034836841
T_550,lM1,g,0.023705437,8.17E-05,0.001207357,-0.00150091,0.012465608,0.018904998
T_554,lM1,g,-0.094956276,0.073196924,0.288006951,0.205951767,0.186256263,-0.057990248
T_556,lM1,g,-0.014760256,0.019927228,0.062187146,-0.084025503,0.008851729,-0.089351271
T_593,lM1,g,0.125077904,0.167781827,0.037032153,-0.015002249,-0.014513031,0.048215669
T_595,lM1,g,0.070180485,0.083719163,0.038864431,0.039727486,0.04611322,0.037060129
T_603,lM1,g,0.063594121,0.114589863,0.06442427,0.058587795,0.011885311,0.010426903
T_614,lM1,g,-0.015481533,0.157330137,0.141064348,0.116840509,0.073219566,0.088860083
T_624,lM1,g,0.02917292,0.221898851,0.185739014,0.021120511,-0.02906774,-0.079427633
T_629,lM1,g,0.036880929,0.04527889,0.013348804,-0.055981611,0.033084795,0.049006519
T_642,lM1,g,-0.034973838,-0.027681843,-0.063727137,0.000179579,-0.003435709,0.007138546
T_647,lM1,g,-0.046808737,-0.056494518,-0.000600279,0.012297162,-0.003391233,-0.04535685
T_652,lM1,g,0.011441174,0.132329389,0.166119326,0.094332327,-0.010622513,-0.08688792
T_662,lM1,g,0.036667616,0.136920487,0.279129093,0.201923293,0.008865488,-0.052100148
T_663,lM1,g,0.041968646,0.257752447,0.351666425,0.105073017,0.000579777,-0.08197059
T_665,lM1,g,0.046553074,0.101177174,0.057375485,-0.023338326,-0.017210403,-0.030527259
